x, y
0.48065, 0.00182
1.0907, 0.00091
1.72848, 0.00727
2.62507, 0.01544
3.06875, 0.02634
3.36453, 0.0436
3.57712, 0.06359
3.82669, 0.1081
4.07626, 0.16624
4.28885, 0.21711
4.48296, 0.2698
4.72328, 0.3461
4.94512, 0.42513
5.13923, 0.4978
5.32409, 0.55594
5.5182, 0.63497
5.66609, 0.69947
5.87868, 0.75942
6.02657, 0.82937
6.28538, 0.89387
6.40555, 0.9402
6.6089, 0.98743
6.74754, 1.02831
6.9509, 1.05556
7.20046, 1.10008
7.36684, 1.12369
7.62565, 1.13278
7.97689, 1.14822
8.41132, 1.1355
8.82727, 1.11188
9.17851, 1.08827
9.49278, 1.06556
9.96418, 1.0374
10.4171, 1.00833
10.87926, 0.99288
11.67418, 0.9838
12.45985, 0.9838
13.22704, 0.98925
13.87406, 1.00015
14.53033, 1.0056
15.26979, 1.00197
