x, y
0.684, 0.01272
1.4974, 0.00545
2.25534, 0.00636
3.30907, 0.02453
3.6788, 0.04996
4.09474, 0.09175
4.37204, 0.14534
4.68631, 0.21893
4.86193, 0.28796
5.20393, 0.37699
5.40728, 0.4542
5.59214, 0.50598
5.78625, 0.57684
5.87868, 0.63679
6.10052, 0.68766
6.24841, 0.7458
6.49798, 0.81302
6.59965, 0.87933
6.91392, 0.96654
7.22819, 1.02286
7.57019, 1.07918
7.96765, 1.12006
8.45754, 1.13823
8.80878, 1.1346
9.25246, 1.11915
9.64991, 1.09099
10.06586, 1.06192
10.50953, 1.04012
10.99018, 1.01923
11.34142, 1.0056
11.76661, 0.99561
12.18255, 0.98925
12.70942, 0.9947
13.39341, 0.99743
14.25303, 1.00106
14.99249, 0.99833
